Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Apr,4,Thursday,Pontiac,Urban,Thursday,Apr,4,Male,Single,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9537,1,400,2,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
Mar,5,Tuesday,Mazda,Urban,Friday,Apr,1,Male,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9538,12,500,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,2 to 3 years,1 vehicle,1995,Liability
Mar,5,Tuesday,Pontiac,Urban,Sunday,May,1,Male,Single,35,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9539,6,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,Internal,none,no change,1 vehicle,1995,Liability
Feb,1,Tuesday,Accura,Urban,Monday,Feb,3,Male,Single,48,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9540,16,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,Liability
Dec,3,Tuesday,Honda,Urban,Thursday,Apr,3,Male,Single,0,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9541,10,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,All Perils
Nov,5,Wednesday,Pontiac,Urban,Friday,Dec,1,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9542,7,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Liability
Sep,3,Monday,Pontiac,Urban,Thursday,Sep,4,Female,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9543,9,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
Sep,3,Sunday,Ford,Urban,Monday,Dec,1,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9544,7,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Jul,4,Monday,Honda,Urban,Wednesday,Jul,4,Female,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9545,16,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
Jul,1,Wednesday,Pontiac,Urban,Monday,Jul,2,Female,Married,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9546,1,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Jun,4,Sunday,Honda,Urban,Tuesday,Jun,4,Male,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9547,13,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
Jun,3,Friday,Chevrolet,Urban,Monday,Jun,3,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9548,4,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
May,1,Friday,Mazda,Urban,Monday,May,2,Male,Married,39,Third Party,Sedan - Collision,Sedan,more than 69000,0,9549,16,700,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
May,1,Saturday,Pontiac,Urban,Tuesday,May,2,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9550,3,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Oct,2,Wednesday,Mercury,Urban,Wednesday,Dec,3,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9551,7,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
Jul,2,Tuesday,Honda,Urban,Tuesday,Jul,2,Male,Married,54,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9552,12,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Liability
Jun,1,Sunday,Toyota,Urban,Thursday,Jun,2,Female,Married,41,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9553,9,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
Apr,3,Thursday,Honda,Urban,Thursday,Apr,1,Male,Single,0,Policy Holder,Sport - All Perils,Sport,more than 69000,0,9554,15,400,4,more than 30,more than 30,none,new,16 to 17,Yes,No,External,none,no change,1 vehicle,1995,All Perils
Apr,2,Friday,Toyota,Urban,Friday,Apr,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9555,9,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
Mar,4,Wednesday,Toyota,Urban,Thursday,Mar,4,Male,Married,80,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9556,9,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,1 year,2 vehicles,1995,All Perils
Mar,2,Wednesday,Honda,Urban,Friday,Jul,1,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9557,6,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
Jan,4,Monday,Honda,Urban,Tuesday,Jan,4,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9558,6,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
Oct,2,Friday,Toyota,Urban,Monday,Oct,3,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9559,15,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Oct,1,Sunday,Toyota,Urban,Wednesday,Oct,1,Female,Married,59,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9560,16,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1995,Liability
Feb,1,Saturday,Honda,Urban,Thursday,Feb,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9561,4,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1995,Liability
Feb,3,Friday,Chevrolet,Urban,Friday,Mar,1,Female,Married,37,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9562,13,400,1,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
Jan,4,Monday,Toyota,Urban,Wednesday,Jan,4,Male,Married,65,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,9563,14,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Mar,3,Saturday,Chevrolet,Rural,Monday,Mar,4,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9564,4,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
Jun,2,Tuesday,Mazda,Urban,Tuesday,Jun,2,Male,Married,45,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9565,12,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
Jun,2,Thursday,Honda,Urban,Monday,Jul,1,Female,Single,25,Third Party,Sedan - All Perils,Sedan,less than 20000,0,9566,8,400,4,more than 30,more than 30,none,3 years,26 to 30,No,No,External,none,no change,1 vehicle,1995,All Perils
Dec,1,Friday,Pontiac,Urban,Monday,Dec,1,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9567,8,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
Jan,4,Monday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,36,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9568,16,400,1,more than 30,more than 30,1,5 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
Dec,2,Monday,Honda,Urban,Monday,Dec,2,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9569,14,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
Mar,5,Wednesday,Pontiac,Urban,Thursday,Apr,1,Male,Single,23,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9570,1,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Aug,1,Friday,Accura,Urban,Monday,Aug,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,9571,9,400,4,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Nov,2,Wednesday,Chevrolet,Urban,Monday,Dec,1,Female,Married,39,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,9572,2,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Dec,2,Sunday,Honda,Urban,Monday,Dec,2,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9573,5,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
Dec,2,Monday,Ford,Rural,Tuesday,Dec,2,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9574,1,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
Dec,2,Sunday,Toyota,Urban,Monday,Dec,2,Male,Single,22,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9575,16,400,3,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
Dec,2,Monday,Accura,Urban,Monday,Dec,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,9576,11,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
Nov,3,Tuesday,Honda,Urban,Tuesday,Nov,3,Male,Married,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9577,8,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Collision
Sep,1,Tuesday,Toyota,Urban,Wednesday,Sep,1,Female,Married,41,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9578,15,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
Jul,5,Monday,Mazda,Urban,Wednesday,Aug,1,Male,Married,72,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9579,13,400,2,more than 30,more than 30,1,7 years,over 65,No,No,External,more than 5,no change,1 vehicle,1995,Liability
Aug,1,Tuesday,Chevrolet,Urban,Friday,Aug,4,Female,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9580,4,700,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
Jul,3,Monday,Honda,Urban,Monday,Jul,3,Male,Single,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9581,7,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
Mar,2,Sunday,Mazda,Rural,Monday,Mar,3,Female,Single,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9582,11,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Mar,1,Friday,Ford,Rural,Wednesday,Mar,4,Male,Married,41,Third Party,Sedan - Collision,Sedan,40000 to 59000,0,9583,9,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Dec,3,Thursday,Pontiac,Urban,Friday,Dec,3,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9584,11,400,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Dec,2,Monday,Honda,Urban,Wednesday,Dec,3,Male,Married,35,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9585,2,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,Yes,No,External,1 to 2,no change,1 vehicle,1995,Liability
Dec,3,Wednesday,Toyota,Urban,Thursday,Dec,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9586,7,400,1,more than 30,more than 30,1,6 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
Dec,1,Friday,Toyota,Urban,Tuesday,Dec,2,Male,Married,40,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,9587,16,400,4,15 to 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
Dec,1,Thursday,Chevrolet,Urban,Friday,Dec,1,Male,Married,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9588,13,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Dec,1,Saturday,Honda,Urban,Monday,Dec,2,Male,Married,49,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9589,9,500,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,1995,Liability
Jan,4,Tuesday,Honda,Urban,Friday,Feb,4,Male,Married,40,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,9590,3,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
Jul,3,Monday,Ford,Urban,Tuesday,Jul,4,Male,Married,36,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,9591,3,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Jul,3,Saturday,Pontiac,Urban,Tuesday,Jul,3,Male,Married,34,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9592,4,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
Jul,2,Monday,Toyota,Urban,Tuesday,Oct,4,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9593,12,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Apr,3,Monday,Pontiac,Urban,Tuesday,Apr,3,Male,Married,27,Third Party,Sedan - All Perils,Sedan,less than 20000,0,9594,1,400,1,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
Apr,3,Sunday,Honda,Urban,Wednesday,Apr,4,Male,Married,80,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9595,5,400,3,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,3 to 4,1995,Collision
Mar,4,Friday,Toyota,Urban,Wednesday,May,1,Male,Married,66,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9596,12,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,none,no change,1 vehicle,1995,Collision
Mar,1,Wednesday,Chevrolet,Rural,Tuesday,Mar,3,Male,Married,44,Third Party,Sedan - Liability,Sport,more than 69000,0,9597,12,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
Feb,2,Sunday,Chevrolet,Urban,Monday,Feb,3,Male,Married,32,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9598,3,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1995,Liability
Dec,4,Sunday,Toyota,Urban,Thursday,Jan,3,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9599,16,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Liability
Dec,4,Thursday,Pontiac,Urban,Thursday,Dec,4,Male,Married,42,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9600,12,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
Oct,3,Saturday,Toyota,Urban,Wednesday,Oct,3,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9601,7,400,4,more than 30,more than 30,1,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils
Oct,3,Saturday,Honda,Urban,Tuesday,Dec,2,Male,Married,60,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9602,12,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Feb,2,Friday,Accura,Urban,Thursday,Feb,3,Female,Married,31,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,9603,11,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
Mar,2,Thursday,Toyota,Urban,Friday,Mar,2,Female,Married,48,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9604,11,400,3,more than 30,more than 30,none,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,All Perils
May,1,Friday,Toyota,Urban,Tuesday,May,2,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9605,7,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
Aug,3,Tuesday,Chevrolet,Urban,Wednesday,Sep,2,Male,Married,36,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,9606,5,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
Aug,3,Sunday,Chevrolet,Urban,Tuesday,Aug,3,Male,Married,36,Policy Holder,Utility - All Perils,Utility,more than 69000,0,9607,12,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
Aug,2,Saturday,Pontiac,Urban,Tuesday,Aug,5,Female,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9608,9,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,All Perils
Oct,4,Saturday,Pontiac,Urban,Wednesday,Nov,3,Male,Single,24,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9609,2,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
Apr,1,Thursday,Chevrolet,Urban,Saturday,Apr,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,9610,14,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
Apr,1,Wednesday,Mazda,Urban,Thursday,Apr,1,Male,Single,39,Third Party,Sedan - All Perils,Sedan,more than 69000,0,9611,5,700,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Jun,3,Friday,Pontiac,Urban,Thursday,Jun,4,Male,Married,30,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9612,2,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Oct,4,Thursday,Toyota,Rural,Tuesday,Dec,2,Male,Married,80,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,9613,12,400,3,more than 30,more than 30,none,6 years,over 65,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Jan,4,Thursday,Pontiac,Urban,Friday,Feb,1,Female,Single,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,9614,16,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
Dec,1,Sunday,Honda,Urban,Tuesday,Dec,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9615,11,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Feb,4,Monday,Pontiac,Rural,Tuesday,Feb,4,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9616,7,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
Mar,5,Wednesday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9617,10,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
May,3,Friday,Toyota,Urban,Sunday,May,4,Male,Married,27,Third Party,Sedan - All Perils,Sedan,less than 20000,0,9618,10,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,All Perils
May,3,Sunday,Pontiac,Urban,Friday,May,3,Male,Married,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9619,7,400,1,more than 30,more than 30,1,5 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,1995,Liability
May,2,Wednesday,Honda,Rural,Thursday,May,4,Female,Married,37,Third Party,Sedan - Liability,Sport,20000 to 29000,0,9620,12,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
May,1,Monday,Toyota,Urban,Thursday,May,1,Male,Married,50,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9621,15,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Jun,1,Saturday,Honda,Urban,Wednesday,Jun,2,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9622,2,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,Collision
Jul,1,Sunday,Pontiac,Urban,Monday,Jul,1,Male,Single,43,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,9623,11,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Jun,5,Tuesday,Pontiac,Urban,Tuesday,Jul,2,Female,Single,39,Third Party,Sedan - Collision,Sedan,less than 20000,0,9624,6,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
Jun,4,Monday,Pontiac,Urban,Monday,Jul,1,Female,Single,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9625,8,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
Sep,4,Friday,Mazda,Urban,Friday,Oct,3,Male,Married,33,Third Party,Sedan - Liability,Sport,30000 to 39000,0,9626,3,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
Sep,3,Wednesday,Toyota,Urban,Friday,Sep,3,Male,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9627,11,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
Oct,1,Wednesday,Mazda,Rural,Monday,Oct,2,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9628,1,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Collision
Dec,1,Monday,Pontiac,Urban,Wednesday,Dec,3,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9629,2,400,1,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1995,Collision
Dec,1,Tuesday,Pontiac,Urban,Wednesday,Dec,5,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9630,4,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability
Apr,4,Friday,Pontiac,Urban,Friday,Apr,4,Male,Married,62,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9631,5,400,4,more than 30,more than 30,none,7 years,51 to 65,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils
Apr,3,Saturday,Chevrolet,Urban,Tuesday,Apr,3,Male,Married,26,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,9632,8,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision
May,2,Wednesday,Honda,Urban,Thursday,May,3,Female,Single,35,Policy Holder,Sport - Collision,Sport,more than 69000,0,9633,7,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
May,5,Tuesday,Mazda,Urban,Monday,Jul,2,Female,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9634,4,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1995,Collision
May,3,Monday,Chevrolet,Urban,Wednesday,Jul,1,Male,Married,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,9635,15,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision
Jul,3,Saturday,Honda,Urban,Monday,Jul,3,Male,Single,23,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,9636,9,400,1,more than 30,more than 30,1,3 years,26 to 30,No,No,External,none,no change,3 to 4,1995,All Perils
Sep,2,Monday,Accura,Urban,Tuesday,Sep,2,Male,Single,31,Policy Holder,Sedan - Liability,Sport,more than 69000,0,9637,9,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability
Sep,2,Wednesday,Accura,Urban,Wednesday,Sep,3,Male,Single,52,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,9638,10,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1995,All Perils
Aug,2,Friday,Toyota,Urban,Friday,Aug,2,Female,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9639,12,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1995,Liability
Oct,3,Friday,Honda,Urban,Friday,Oct,3,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,9640,8,500,4,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,2 to 3 years,2 vehicles,1995,Liability
Oct,4,Saturday,VW,Rural,Tuesday,Oct,4,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,60000 to 69000,0,9641,12,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,Collision
Dec,1,Wednesday,Toyota,Urban,Thursday,Dec,2,Male,Married,40,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9642,10,700,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1995,Liability
